"Sensor","first10_mean","first10_sd","first10_median","first10_mad","first10_min","first10_max","first10_count","first10_rollmean3","last5_mean","last5_sd","last5_median","last5_mad","last5_min","last5_max","last5_count","last5_rollmean3","full_mean","full_sd","full_median","full_mad","full_min","full_max","full_count","full_rollmean3","within_diff_mean","within_diff_sd","within_diff_median","within_diff_mad","within_diff_min","within_diff_max","within_diff_count","within_diff_rollmean3","full_pct_nonmissing"
"1995.Sensor01",4.015,NA,4.015,0,4.015,4.015,1,NA,NA,NA,NA,NA,NA,NA,0,NA,4.02577777777778,NA,4.02577777777778,0,4.02577777777778,4.02577777777778,1,NA,0.0107777777777782,NA,0.0107777777777782,0,0.0107777777777782,0.0107777777777782,1,NA,7.14285714285714
"1995.Sensor02",3.08,NA,3.08,0,3.08,3.08,1,NA,3.038,NA,3.038,0,3.038,3.038,1,NA,2.98884868421053,NA,2.98884868421053,0,2.98884868421053,2.98884868421053,1,NA,-0.0911513157894737,NA,-0.0911513157894737,0,-0.0911513157894737,-0.0911513157894737,1,NA,7.14285714285714
"1995.Sensor03",NA,NA,NA,NA,NA,NA,0,NA,4.928,NA,4.928,0,4.928,4.928,1,NA,4.55885416666667,NA,4.55885416666667,0,4.55885416666667,4.55885416666667,1,NA,NA,NA,NA,NA,NA,NA,0,NA,7.14285714285714
"1995.Sensor04",3.68833333333333,NA,3.68833333333333,0,3.68833333333333,3.68833333333333,1,NA,NA,NA,NA,NA,NA,NA,0,NA,3.02932960893855,NA,3.02932960893855,0,3.02932960893855,3.02932960893855,1,NA,-0.659003724394786,NA,-0.659003724394786,0,-0.659003724394786,-0.659003724394786,1,NA,7.14285714285714
"1995.Sensor05",3.765,NA,3.765,0,3.765,3.765,1,NA,7.328,NA,7.328,0,7.328,7.328,1,NA,4.72957095709571,NA,4.72957095709571,0,4.72957095709571,4.72957095709571,1,NA,0.96457095709571,NA,0.96457095709571,0,0.96457095709571,0.96457095709571,1,NA,7.14285714285714
"1995.Sensor06",3.582,NA,3.582,0,3.582,3.582,1,NA,8.038,NA,8.038,0,8.038,8.038,1,NA,4.74440129449838,NA,4.74440129449838,0,4.74440129449838,4.74440129449838,1,NA,1.16240129449838,NA,1.16240129449838,0,1.16240129449838,1.16240129449838,1,NA,7.14285714285714
"1995.Sensor07",NA,NA,NA,NA,NA,NA,0,NA,3.538,NA,3.538,0,3.538,3.538,1,NA,3.42917695473251,NA,3.42917695473251,0,3.42917695473251,3.42917695473251,1,NA,NA,NA,NA,NA,NA,NA,0,NA,7.14285714285714
"1995.Sensor08",5.406,NA,5.406,0,5.406,5.406,1,NA,5.376,NA,5.376,0,5.376,5.376,1,NA,5.24019417475728,NA,5.24019417475728,0,5.24019417475728,5.24019417475728,1,NA,-0.165805825242718,NA,-0.165805825242718,0,-0.165805825242718,-0.165805825242718,1,NA,7.14285714285714
"1995.Sensor09",4.122,NA,4.122,0,4.122,4.122,1,NA,5.238,NA,5.238,0,5.238,5.238,1,NA,3.69920138888889,NA,3.69920138888889,0,3.69920138888889,3.69920138888889,1,NA,-0.422798611111111,NA,-0.422798611111111,0,-0.422798611111111,-0.422798611111111,1,NA,7.14285714285714
"1995.Sensor10",3.795,NA,3.795,0,3.795,3.795,1,NA,6.678,NA,6.678,0,6.678,6.678,1,NA,4.47210355987055,NA,4.47210355987055,0,4.47210355987055,4.47210355987055,1,NA,0.67710355987055,NA,0.67710355987055,0,0.67710355987055,0.67710355987055,1,NA,7.14285714285714
"1995.Sensor11",4.817,NA,4.817,0,4.817,4.817,1,NA,5.482,NA,5.482,0,5.482,5.482,1,NA,5.03993421052632,NA,5.03993421052632,0,5.03993421052632,5.03993421052632,1,NA,0.222934210526316,NA,0.222934210526316,0,0.222934210526316,0.222934210526316,1,NA,7.14285714285714
"1995.Sensor12",5.525,NA,5.525,0,5.525,5.525,1,NA,5.462,NA,5.462,0,5.462,5.462,1,NA,5.54527777777778,NA,5.54527777777778,0,5.54527777777778,5.54527777777778,1,NA,0.0202777777777774,NA,0.0202777777777774,0,0.0202777777777774,0.0202777777777774,1,NA,7.14285714285714
"1995.Sensor13",5.109,NA,5.109,0,5.109,5.109,1,NA,5.262,NA,5.262,0,5.262,5.262,1,NA,5.00006666666667,NA,5.00006666666667,0,5.00006666666667,5.00006666666667,1,NA,-0.108933333333334,NA,-0.108933333333334,0,-0.108933333333334,-0.108933333333334,1,NA,7.14285714285714
"1995.Sensor14",6.233,NA,6.233,0,6.233,6.233,1,NA,6.868,NA,6.868,0,6.868,6.868,1,NA,6.10127450980392,NA,6.10127450980392,0,6.10127450980392,6.10127450980392,1,NA,-0.131725490196079,NA,-0.131725490196079,0,-0.131725490196079,-0.131725490196079,1,NA,7.14285714285714
"1995.Sensor15",6.842,NA,6.842,0,6.842,6.842,1,NA,7.702,NA,7.702,0,7.702,7.702,1,NA,6.87456081081081,NA,6.87456081081081,0,6.87456081081081,6.87456081081081,1,NA,0.0325608108108115,NA,0.0325608108108115,0,0.0325608108108115,0.0325608108108115,1,NA,7.14285714285714
"1995.Sensor16",6.735,NA,6.735,0,6.735,6.735,1,NA,NA,NA,NA,NA,NA,NA,0,NA,6.47382142857143,NA,6.47382142857143,0,6.47382142857143,6.47382142857143,1,NA,-0.261178571428572,NA,-0.261178571428572,0,-0.261178571428572,-0.261178571428572,1,NA,7.14285714285714
"1995.Sensor17",2.042,NA,2.042,0,2.042,2.042,1,NA,2,NA,2,0,2,2,1,NA,2.3286432160804,NA,2.3286432160804,0,2.3286432160804,2.3286432160804,1,NA,0.286643216080402,NA,0.286643216080402,0,0.286643216080402,0.286643216080402,1,NA,7.14285714285714
"1995.Sensor18",3.77,NA,3.77,0,3.77,3.77,1,NA,3.712,NA,3.712,0,3.712,3.712,1,NA,3.60661237785016,NA,3.60661237785016,0,3.60661237785016,3.60661237785016,1,NA,-0.163387622149837,NA,-0.163387622149837,0,-0.163387622149837,-0.163387622149837,1,NA,7.14285714285714
"1995.Sensor19",7.24625,NA,7.24625,0,7.24625,7.24625,1,NA,6.372,NA,6.372,0,6.372,6.372,1,NA,6.10825342465753,NA,6.10825342465753,0,6.10825342465753,6.10825342465753,1,NA,-1.13799657534247,NA,-1.13799657534247,0,-1.13799657534247,-1.13799657534247,1,NA,7.14285714285714
"1995.Sensor20",9.293,NA,9.293,0,9.293,9.293,1,NA,8.434,NA,8.434,0,8.434,8.434,1,NA,8.23490842490843,NA,8.23490842490843,0,8.23490842490843,8.23490842490843,1,NA,-1.05809157509157,NA,-1.05809157509157,0,-1.05809157509157,-1.05809157509157,1,NA,7.14285714285714
"1995.Sensor21",NA,NA,NA,NA,NA,NA,0,NA,5.73,NA,5.73,0,5.73,5.73,1,NA,4.85983193277311,NA,4.85983193277311,0,4.85983193277311,4.85983193277311,1,NA,NA,NA,NA,NA,NA,NA,0,NA,7.14285714285714
"1995.Sensor22",6.738,NA,6.738,0,6.738,6.738,1,NA,5.52,NA,5.52,0,5.52,5.52,1,NA,5.65425,NA,5.65425,0,5.65425,5.65425,1,NA,-1.08375,NA,-1.08375,0,-1.08375,-1.08375,1,NA,7.14285714285714
"1995.Sensor23",10.1644444444444,NA,10.1644444444444,0,10.1644444444444,10.1644444444444,1,NA,NA,NA,NA,NA,NA,NA,0,NA,9.12678700361011,NA,9.12678700361011,0,9.12678700361011,9.12678700361011,1,NA,-1.03765744083434,NA,-1.03765744083434,0,-1.03765744083434,-1.03765744083434,1,NA,7.14285714285714
"1995.Sensor24",4.87,NA,4.87,0,4.87,4.87,1,NA,4.902,NA,4.902,0,4.902,4.902,1,NA,4.44327868852459,NA,4.44327868852459,0,4.44327868852459,4.44327868852459,1,NA,-0.42672131147541,NA,-0.42672131147541,0,-0.42672131147541,-0.42672131147541,1,NA,7.14285714285714
